Type,regex
Date Validation Expression,^(0[1-9]|1[0-2])\/(0[1-9]|1\d|2\d|3[01])\/(19|20)\d{2}|(0[1-9]|1[0-2])\/(0[1-9]|1\d|2\d|3[01])\/\d{2}|(0[1-9]|1[0-2])\-(0[1-9]|1\d|2\d|3[01])\-(19|20)\d{2}|(0[1-9]|1[0-2])\-(0[1-9]|1\d|2\d|3[01])\-\d{2}|([1-9]|1[0-2])\/([1-9]|1\d|2\d|3[01])\/(19|20)\d{2}|([1-9]|1[0-2])\/([1-9]|1\d|2\d|3[01])\/\d{2}|([1-9]|1[0-2])\-([1-9]|1\d|2\d|3[01])\-(19|20)\d{2}|([1-9]|1[0-2])\-([1-9]|1\d|2\d|3[01])\-\d{2}|(([0-9])|([0-2][0-9])|([3][0-1]))\-(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)\-\d{4}|(([0-9])|([0-2][0-9])|([3][0-1]))\-(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)\-\d{2}$
Pattern Title,^[A-Za-z]{1,2}[\d]{1,2}([A-Za-z])?\s?[\d][A-Za-z]{2}$
Linux Uptime Command,/^([0-2][0-9]\:[0-5][0-9]\:[0-5][0-9])\s+up\s+([0-9\:]{1,5})\s*(days|day|min|mins)?(?:\,\s+([0-9\:]{1,5})\s*(days|day|min|mins)?)?\,\s+([0-9]{1,4})\susers?\,\s+load\s+average\:\s+([0-9\.]{1,6})\,\s+([0-9\.]{1,6})\,\s+([0-9\.]{1,6})$/
Pattern Title,^(?=[^&])(?:(?<scheme>[^:/?#]+):)?(?://(?<authority>[^/?#]*))?(?<path>[^?#]*)(?:\?(?<query>[^#]*))?(?:#(?<fragment>.*))?
monclershops,monclershops
A Liberal, Accurate Pattern for Matching URLs,\b(([\w-]+://?|www[.])[^\s()<>]+(?:\([\w\d]+\)|([^[:punct:]\s]|/)))
For Accepting only Indian mobile numbers with exactly 10 Digits or blank,^[89][0-9]{9}
Accepts everything except Zero and Double Zeros(0,00 are invalid Values),[0][^0]|([^0]{1}(.){1})|[^0]*
Duration time,^[0-9]+\.?[0-9]?[0-9]?[0,5]?$
Strong password,((?=.*\d)(?=.*[a-z])(?=.*[A-Z])(?=.*[\W_]).{6,50})
https://snaptube.zone/dj-do-baile-toca-aquela-mc-novinho-mp3-musica-baixar/,fgvrdg
http://tubemate.zone/ce-ta-gostosinha-benny-e-brenno-mp3-musica-baixar/,drgbvrtgtr
Indian Mobile No,^((\+){0,1}91(\s){0,1}(\-){0,1}(\s){0,1}){0,1}9[0-9](\s){0,1}(\-){0,1}(\s){0,1}[1-9]{1}[0-9]{7}$
Percentage,Percentage allowing upto 4 places of decimal
Pattern Title,^[1-9][0-9]{3}\s?[a-zA-Z]{2}$
Pattern Title,^[\u0081-\uFFFF]{1,}$
Pattern Title,^[1-9][0-9]{3}\s?[a-zA-Z]{2}$
Pattern Title,^[\u0081-\uFFFF]{1,}$
Regex Example,^[a-zA-Z0-9,./-]*$
Match PCRE Modifiers (At Least in PHP),/[^imsxeADSUXu]([imsxeADSUXu]*)$/
Curl apostrophes,'([dmstrl])([ .,?!\)\\/<])
Check filename extensions,^.*(([^\.][\.][wW][mM][aA])|([^\.][\.][mM][pP][3]))$
CURP (Mexican Code),^[a-zA-Z]{4}\d{6}[a-zA-Z]{6}\d{2}$
RFC (Mexican Code),^[A-Za-z]{3,4}[0-9]{6}$
RFC Homonimia (Mexican Code),^[0-9a-zA-z]{3}$
Pattern Title,(?=(?:[^\']*\'[^\']*\')*(?![^\']*\'))
Cleaning HTML,<\/{0,1}(?!\/|b>|i>|p>|a\s|a>|br|em>|ol|li|strong>)[^>]*>
Cleaning HTML,<\/{0,1}(?!\/|b>|i>|p>|a\s|a>|br|em>|ol|li|strong>)[^>]*>
Pattern Title,&lt;/?(\w+)(\s*\w*\s*=\s*(&quot;[^&quot;]*&quot;|'[^']'|[^&gt;]*))*|/?&gt;
Hyperlink,<a\s{1}href="(?<url>.*?)"(\s?target="(?<target>_(blank|new|parent|self|top))")?(\s?class="(?<class>.*?)")?(\s?style="(?<style>.*?)")?>(?<title>.*?)</a>
Pattern Title,^(((ht|f)tp(s?))\://)?(www.|[a-zA-Z].)[a-zA-Z0-9\-\.]+\.(com|edu|gov|mil|net|org|biz|info|name|museum|us|ca|uk)(\:[0-9]+)*(/($|[a-zA-Z0-9\.\,\;\?\'\\\+&amp;%\$#\=~_\-]+))*$
Pattern Title,^(?![0-9]{6})[0-9a-zA-Z]{6}$
Pattern Title,^[\n &lt;&quot;']*([a-zA-Z0-9._-]+@[a-zA-Z0-9._-]+)
Validate Egyptian Mobile Phone Numbers,^01[0-2]\d{8}$
Drop first subdomain from domain name,^\w+\.((?:\w+\.)+\w+)$
Pattern Title,^([0-9a-zA-Z]([-.\w]*[0-9a-zA-Z])*@(([0-9a-zA-Z])+([-\w]*[0-9a-zA-Z])*\.)+[a-zA-Z]{2,9})$
Use The Proper Customer Care Service For Resolving Yahoo Mail Login Issues 1-877-749-5444,Yahoo Customer Service
Pattern Title,^[\n &lt;&quot;']*([a-zA-Z0-9._-]+@[a-zA-Z0-9._-]+)
Validate Egyptian Mobile Phone Numbers,^01[0-2]\d{8}$
Drop first subdomain from domain name,^\w+\.((?:\w+\.)+\w+)$
Pattern Title,^([0-9a-zA-Z]([-.\w]*[0-9a-zA-Z])*@(([0-9a-zA-Z])+([-\w]*[0-9a-zA-Z])*\.)+[a-zA-Z]{2,9})$
Pattern Title,^([1][12]|[0]?[1-9])[\/-]([3][01]|[12]\d|[0]?[1-9])[\/-](\d{4}|\d{2})$
Non printable ASCII,[\x00-\x1F\x7F]
Simple Email Pattern Test,^[a-z]+([\d_-]*[a-z]+)*@[a-z]{2,}(\.)[a-z]{2,}(\.[a-z]{2})?$
Apple Repair Center Australia,apple service center
Pattern Title,^\$[+-]?([0-9]+|[0-9]{1,3}(,[0-9]{3})*)(\.[0-9]{1,2})?$
URl Domain names,^http[s]?://([a-zA-Z0-9\-]+\.)*([a-zA-Z]{3,61}|[a-zA-Z]{1,}\.[a-zA-Z]{2})/.*$
https://creatine.wheretobuyy.com/,https://creatine.wheretobuyy.com/
PESEL,[0-9]{4}[0-3]{1}[0-9}{1}[0-9]{5}
Web URL Validation RegEx,^(http(s?)\:\/\/)?(www.)?(([A-Za-z]+)([0-9]+)?([A-Za-z0-9\.\_\-]+)?)(\.)(([a-zA-Z]{2,})([0-9a-zA-Z]+)?)(\:\d{0,5})?(\/|(\/[A-Za-z]+([a-zA-Z0-9]+)?)+)?(\?[a-zA-Z0-9\\\&\%\_\.\/\-\=\~\*]+)?$
USZ Zip Code Validation,^(\d{5})([\-\ ]\d{4})?$
Phone Number Validation (USA Style),^([+0]\d{1,3}[\ \-]?)?(\()?([0-9]{3})(?(2)\)|(\))?)([\-\.\ ])?([0-9]{3})(?(5)\5|\5?)([0-9]{4})$
Email Validateion RegEx,^([A-Za-z]+)([0-9]+)?([A-Za-z0-9\.\_]+)?\@(([A-Za-z]+)([0-9]+)?([A-Za-z0-9\.\_]+)?)((\.)([a-zA-Z]+))$
Leap Year,(15(8[48]|9[26]))|((1[6-9]|[2-9]\d)(0[48]|[13579][26]|[2468][048]))|(([2468][048]|16|3579[26])00)
Email regexp for ereg(),^[a-z0-9_]{1}[a-z0-9\-_]*(\.[a-z0-9\-_]+)*@[a-z0-9]{1}[a-z0-9\-_]*(\.[a-z0-9\-_]+)*\.[a-z]{2,4}$
Full Name,[a-zA-Z]*( [a-zA-Z]*)?
CNPJ / CPF do Brasil,(\d{2}\.\d{3}\.\d{3}\/\d{4}\-\d{2})|(\d{3}\.\d{3}\.\d{3}\-\d{2})
Decimal with scale,^\d*[0-9](\.\d?[0-9])?$
Percentage with scale,^((\d{0,1}[0-9](\.\d{0,1}[0-9])?)|(100))$
Test,+919433736446
Pattern Title,&lt;[^&gt;]*\n?.*=(&quot;|')?(.*\.jpg)(&quot;|')?.*\n?[^&lt;]*&gt;
Valid directory only path,([A-Z]:\\[^/:\*;\/\:\?<>\|]+)|(\\{2}[^/:\*;\/\:\?<>\|]+)
Serial from BIND zone file's SOA,(?:(?:[a-zA-Z0-9](?:[a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,6}\.?\t*\s*){2}\(\r*\n*([0-9]{1,})
test,1234
Pattern Title,^([a-zA-Z.\s']{1,50})$
Usercode,TIS-12-123
Allowing only single space in between two words,([a-zA-Z]{1}[a-zA-Z]*[\s]{0,1}[a-zA-Z])+([\s]{0,1}[a-zA-Z]+)
Indian PAN,^[A-Z]{5}[0-9]{4}[A-Z]{1}$
French postal address,((^[0-9]*).?((BIS)|(TER)|(QUATER))?)?((\W+)|(^))(([a-z]+.)*)([0-9]{5})?.(([a-z\'']+.)*)$
plus,A + B
https://musclebuildingbuy.com/blue-pearl-male-enhancement/,grdfgr
Generic Credentials,username=(.*)&password=(.*)
email,\b[A-z0-9._%-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b
ukrainian phone numbers,^((8|\+38)-?)?(\(?044\)?)?-?\d{3}-?\d{2}-?\d{2}$
MS Project-like Duration Input Validation,^(([0-9]{1})|([0-9]{1}[0-9]{1})|([1-3]{1}[0-6]{1}[0-5]{1}))d(([0-9]{1})|(1[0-9]{1})|([1-2]{1}[0-3]{1}))h(([0-9]{1})|([1-5]{1}[0-9]{1}))m$
Pattern Title,^[a-zA-Z]+(([\'\,\.\- ][a-zA-Z ])?[a-zA-Z]*)*\s+&lt;(\w[-._\w]*\w@\w[-._\w]*\w\.\w{2,3})&gt;$|^(\w[-._\w]*\w@\w[-._\w]*\w\.\w{2,3})$
Compelet Ihren Traum von der Romanze mit Kamagra bestellen Medizin.,Kamagra für häufigste sexuelle Problem bei Männern
YAER - Yet Another Email Regex,^[^\s]+@[^\.][^\s]{1,}\.[A-Za-z]{2,10}$
Email,^[\w-]+(\.[\w-]+)*@([a-z0-9-]+(\.[a-z0-9-]+)*?\.[a-z]{2,6}|(\d{1,3}\.){3}\d{1,3})(:\d{4})?$
Number,^[-]?([1-9]{1}[0-9]{0,}(\.[0-9]{0,2})?|0(\.[0-9]{0,2})?|\.[0-9]{1,2})$
Telephone,(\+)?([-\._\(\) ]?[\d]{3,20}[-\._\(\) ]?){2,10}
DateTime,(?n:^(?=\d)((?<day>31(?!(.0?[2469]|11))|30(?!.0?2)|29(?(.0?2)(?=.{3,4}(1[6-9]|[2-9]\d)(0[48]|[2468][048]|[13579][26])|(16|[2468][048]|[3579][26])00))|0?[1-9]|1\d|2[0-8])(?<sep>[/.-])(?<month>0?[1-9]|1[012])\2(?<year>(1[6-9]|[2-9]\d)\d{2})(?:(?=\x20\d)\x20|$))?(?<time>((0?[1-9]|1[012])(:[0-5]\d){0,2}(?i:\ [AP]M))|([01]\d|2[0-3])(:[0-5]\d){1,2})?$)
IPv6 address,^([0-9a-fA-F]{4}|0)(\:([0-9a-fA-F]{4}|0)){7}$
Port Numbers,^(102[0-3]|10[0-1]\d|[1-9][0-9]{0,2}|0)$
Port Numbers,^(4915[0-1]|491[0-4]\d|490\d\d|4[0-8]\d{3}|[1-3]\d{4}|[2-9]\d{3}|1[1-9]\d{2}|10[3-9]\d|102[4-9])$
Port Numbers,^(6553[0-5]|655[0-2]\d|65[0-4]\d\d|6[0-4]\d{3}|5\d{4}|49[2-9]\d\d|491[6-9]\d|4915[2-9])$
Port Numbers,^(4915[0-1]|491[0-4]\d|490\d\d|4[0-8]\d{3}|[1-3]\d{4}|[1-9]\d{0,3}|0)$
Port Numbers,^(6553[0-5]|655[0-2]\d|65[0-4]\d\d|6[0-4]\d{3}|[1-5]\d{4}|[1-9]\d{0,3}|0)$
URL,^((([hH][tT][tT][pP][sS]?|[fF][tT][pP])\:\/\/)?([\w\.\-]+(\:[\w\.\&%\$\-]+)*@)?((([^\s\(\)\<\>\\\"\.\[\]\,@;:]+)(\.[^\s\(\)\<\>\\\"\.\[\]\,@;:]+)*(\.[a-zA-Z]{2,4}))|((([01]?\d{1,2}|2[0-4]\d|25[0-5])\.){3}([01]?\d{1,2}|2[0-4]\d|25[0-5])))(\b\:(6553[0-5]|655[0-2]\d|65[0-4]\d{2}|6[0-4]\d{3}|[1-5]\d{4}|[1-9]\d{0,3}|0)\b)?((\/[^\/][\w\.\,\?\'\\\/\+&%\$#\=~_\-@]*)*[^\.\,\?\"\'\(\)\[\]!;<>{}\s\x7F-\xFF])?)$
Time,^((0?[1-9]|1[012])(\s*:\s*([0-5]\d))?(\s*:\s*([0-5]\d))?(\s*([AaPp])[Mm]?)$|(2[0-3]|[1]\d|0?\d)(\s*:\s*([0-5]\d))(\s*:\s*([0-5]\d))?)$
Phone Numbers,^(1\s*[-\/\.]?)?(\((\d{3})\)|(\d{3}))\s*[-\/\.]?\s*(\d{3})\s*[-\/\.]?\s*(\d{4})\s*(([xX]|[eE][xX][tT])\.?\s*(\d+))*$
Resale License Number (CA),^((([sS][r-tR-Tx-zX-Z])\s*([sx-zSX-Z])?\s*([a-zA-Z]{2,3}))?\s*(\d\d)\s*-?\s*(\d{6,7}))$
Web Colors (216),^#?(([fFcC0369])\2){3}$
DOCTYPE,\<\!doctype\s+(([^\s\>]+)\s+)?(([^\s\>]+)\s*)?(\"([^\/]+)\/\/([^\/]+)\/\/([^\s]+)\s([^\/]+)\/\/([^\"]+)\")?(\s*\"([^\"]+)\")?\>
https://testosteronesboosterweb.com/primal-shred/,Primal Shred The most crucial muscle building truth will be the one most abused. Most bodybuilders overtrain and Testosterone Booster Review accomplish that compulsively. In fact, cannot help independently. They go into the gym and spend several doing exercise after train. I believe a multitude of them should pack lunch and dinner, and even perhaps an outdoor tent. They can literally spend an entire afternoon exercising. Is it worthwhile? Whenever they were making gains and putting on muscle you need to yes. However the sad fact is that some them never seem adjust. I obtain them day after day and week after week and then they look the actual same exact way they did a last year. As an individual trainer and fellow bodybuilder, this will often frustrate me to no end. 6) Don't Drink Any Alcohol. Alcohol has a lot of calories. Seek it . become fatter, because on the excess fat you will be storing. Your liver discusses alcohol as the poison, to ensure that it concentrates on getting rid of the alcohol, and not as much on an individual to burn calories from anything you have ingested. You also need to get enough of sleep every evening. If you drink alcohol, your sleep will be affected. Sleep helps you release growth hormones, which educate your body to apply your body fat as energy. When you don't get a lot of sleep, you will generate let alone growth hormones, so avoid using become more overweight. Men may grow breasts, little boys take an entire lifetime hit in their Testosterone Enhancer, little girls can experience an early puberty and women end up in issues grief: PMS, menopause woes, etc. Everybody's endocrine system takes famous. For the women who are having relationships enhancements guys since they thing you can do is wait out. It's in contrast to you couldn't know he the Gamer anyone met him so why be upset about the production of another new video. You've been through this sooner than. There Are very few "Inner Breasts. You can't train the "line" in the biggest market of your pectoral. You have an upper chest muscle as well lower chest muscle, achievable work them out both but exact same work out the inside of one's chest. Consider this: let's say for argument's sake your pectoral muscles will move one third of weight when you're bench annoying. This sounds reasonable since the deltoids and triceps are heavily required when performing upper body pressing twitches. If you can eke out ten repetitions of 225 pounds in the bench, you'd move a total volume of 2,225 pounds but your pecs have been called upon for a 3rd of that work; about 742 surplus fat. https://testosteronesboosterweb.com/primal-shred/
Color Hex,^#(\d{6})|^#([A-F]{6})|^#([A-F]|[0-9]){6}
https://bettercoloncleansingguide.com/pure-prime-garcinia-cambogia/,dgbdfh
Pattern Title,^\s*([\(]?)\[?\s*\d{3}\s*\]?[\)]?\s*[\-]?[\.]?\s*\d{3}\s*[\-]?[\.]?\s*\d{4}$
Pattern Title,^[A-Z]{2}[0-9]{6}[A-DFM]{1}$
Pattern Title,^[A-Z]{1,2}[1-9][0-9]?[A-Z]? [0-9][A-Z]{2,}|GIR 0AA$
Token Words,(\$(([0-9]?)[a-zA-Z]+)([0-9]?))
Strip RTF Formatting,^\{(.+)|^\\(.+)|(\}*)
Email Validations,^([a-zA-Z0-9][a-zA-Z0-9_]*(\.{0,1})?[a-zA-Z0-9\-_]+)*(\.{0,1})@((\[[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.)|([a-zA-Z0-9\-]+(\.([a-zA-Z]{2,10}))(\.([a-zA-Z]{2,10}))?(\.([a-zA-Z]{2,10}))?))[\s]*$
Only Characters,/^[a-zA-Z\s]+$/
https://blog.pillsforweightloss.club/male-extra-philippines/,https://blog.pillsforweightloss.club/male-extra-philippines/
Pattern Title,^(?&lt;path&gt;(/?(?&lt;step&gt;\w+))+)(?&lt;predicate&gt;\[(?&lt;comparison&gt;\s*(?&lt;lhs&gt;@\w+)\s*(?&lt;operator&gt;&lt;=|&gt;=|&lt;&gt;|=|&lt;|&gt;)\s*(?&lt;rhs&gt;('[^']*'|&quot;[^&quot;]*&quot;))\s*(and|or)?)+\])*$
Pattern Title,^[a-zA-Z][0-9][a-zA-Z]\s?[0-9][a-zA-Z][0-9]$
Pattern Title,^((\d{5}-\d{4})|(\d{5})|([A-Z]\d[A-Z]\s\d[A-Z]\d))$
Match VBScript statements,(?<=(?:\n|:|^)\s*?)(if|end\sif|elseif|else|for\seach|for|next|call|class|exit|do|loop|const|dim|erase|option\s(?:explicit|implicit)|(?:public|private|end)\ssub|(?:public|private|end)\sfunction|private|public|redim|select\scase|end\sselect|case\selse|case|set|while|wend|with|end\swith|on\serror\sgoto\s0|on\serror\sresume\snext|exit|end\sclass|property\slet|property\sget|property\sset)(?=\s|$)
ASP members; -properties, -collections, -methods,(?<=(?:\n|:|&|\()\s*?)(Application\.Unlock|Application\.Lock|Application\.Contents\.RemoveAll|Application\.Contents\.Remove|Request\.BinaryRead|Request\.ClientCertificate|Request\.Cookies|Request\.Form|Request\.QueryString|Request\.ServerVariables|Request\.TotalBytes|Response\.AddHeader|Response\.AppendToLog|Response\.BinaryWrite|Response\.Clear|Response\.End|Response\.Flush|Response\.Redirect|Response\.Write|Response\.Buffer|Response\.CacheControl|Response\.Charset|Response\.CodePage|Response\.ContentType|Response\.Cookies|Response\.Expires|Response\.ExpiresAbsolute|Response\.IsClientConnected|Response\.LCID|Response\.PICS|Response\.Status|Server\.ScriptTimeout|Server\.CreateObject|Server\.Execute|Server\.GetLastError|Server\.HTMLEncode|Server\.MapPath|Server\.Transfer|Server\.URLEncode|Session\.Abandon|Session\.Contents\.Remove|Session\.Contents\.RemoveAll|Session\.CodePage|Session\.Contents|Session\.LCID|Session\.SessionID|Session\.StaticObjects|Session\.Timeout|Application|Session|Request)(?=\s|\.|\()
VBScript functions,(?<=\s|:|&|\()(Abs|Array|Asc|Atn|CBool|CByte|CCur|CDate|CDbl|Chr|CInt|CLng|Conversions|Cos|CreateObject|CSng|CStr|DateAdd|DateDiff|DatePart|DateSerial|DateValue|Date|Day|DerivedMath|Escape|Eval|Exp|Filter|FormatCurrency|FormatDateTime|FormatNumber|FormatPercent|GetLocale|GetObject|GetRef|Hex|Hour|InputBox|InStr|InStrRev|Int|Fix|IsArray|IsDate|IsEmpty|IsNull|IsNumeric|IsObject|Join|LBound|LCase|Left|Len|LoadPicture|Log|LTrim|RTrim|Trim|Maths|Mid|Minute|Month|MonthName|MsgBox|Now|Oct|Replace|RGB|Right|Rnd|Round|ScriptEngineBuildVersion|ScriptEngineMajorVersion|ScriptEngineMinorVersion|ScriptEngine|Second|SetLocale|Sgn|Sin|Space|Split|Sqr|StrComp|String|StrReverse|Tan|Timer|TimeSerial|TimeValue|Time|TypeName|UBound|UCase|Unescape|VarType|WeekdayName|Weekday|Year)(?=\()
VB/VBScript keyword,(?<=[\s=&\+\-,\(\)])(True|False|Nothing|Empty|Null)(?=[\s=&\+\-,\(\)])
VB and VBscript operators,(?<=\s)(And|Or|Eqv|Imp|Is|Mod|Not|Xor)(?=\s)
Trailing white spaces,[ \t]*?(?=\r?\n)
Extract VBScript/VB code blocks,(?<Code>[\s\S]*?)(?<NonCode>'.*?\r?\n|(?<quot>"|')(?:(?:(?!\<quot>).|\<quot>{2})*)(?:\<quot>))
VBScript and VB code blocks,(?<Code>[\s\S]*?)(?<Comment>'.*?\r?\n|(?<quot>"|')(?:(?:(?!\<quot>).|\<quot>{2})*)(?:\<quot>))
Enhances the possible of one exercise session,Muscle XTX
Portuguese Phone/Mobile number,((\+351|00351|351)?)(2\d{1}|(9(3|6|2|1)))\d{7}
https://musicpleer.zone/1st-day-out-no-plug-mp3-song-download/,frgvr
Pattern Title,^((((19|20)(([02468][048])|([13579][26]))-02-29))|((20[0-9][0-9])|(19[0-9][0-9]))-((((0[1-9])|(1[0-2]))-((0[1-9])|(1\d)|(2[0-8])))|((((0[13578])|(1[02]))-31)|(((0[1,3-9])|(1[0-2]))-(29|30)))))$
Pattern Title,^\\(\\[\w-]+){1,}(\\[\w-()]+(\s[\w-()]+)*)+(\\(([\w-()]+(\s[\w-()]+)*)+\.[\w]+)?)?$
https://snaptube.zone/warrior-jatt-gagan-kokri-mp3-song-download/,swadcef
Kenyan Mobile Phone Numbers,^(?:\+254|254)(\d{9})$
EU currency,^\€?(\d{1,3}[.](\d{3}[.])*\d{3}|\d+)([,]\d{1,2})?$
https://mylaviveeyeserum.com/testo-ampx/,fef
